species,Atlantic,tree number,SL min,log SL min,SL max,log SL max,rep LW ratio,rep PMD,rep biovolume,log biovolume,min egg diam ,log min ed,max egg diam,log max ed,min eggs cap,log min cap,max eggs cap,log max cap,egg mass type,crawl juv,veliger,predation,verm pred,mol pred,pisc pred,sand,rock,reef,rubble,mud,habitat gen,min depth,max depth,depth range,intertidal,minLat,maxLat,minLong,maxLong,Lat.Range,Long.Range,area.km2,calcite.MEAN,chlomean.MEAN,chlomean.STD,nitrate.MEAN,ph.STD,phosphate.MEAN,salinity.MEAN,salinity.STD,silicate.MEAN,sstmean.MEAN,sstmean.STD,resid
pennaceus,0,45,38,1.58,86,1.93,1.74,0.76,21160,4.33,470,2.67,520,2.72,25,1.4,660,2.82,2,1,0,M,0,1,0,1,1,1,1,0,1,0.5,50,49.5,0,-28.04166667,30.70833333,32.29166667,204.9583333,58.75,172.6666666,2043861.988,0.00576392,1.72704,2.11118,1.07429,0.0971584,0.258468,34.5456,2.43938,4.26426,28.3357,1.56416,0.239053639
omaria,0,46,45,1.65,86,1.93,2.23,0.67,22743.99,4.36,331,2.52,342,2.53,485,2.69,912,2.96,2,0,1,M,0,1,0,1,0,1,1,0,1,2,100,98,0,-33.20833333,41.04166667,32.54166667,186.0416667,74.25,153.5,8032041.335,0.00523535,1.29028,2.02264,0.888449,0.0990669,0.228147,33.4983,1.25502,5.451,27.1832,4.01213,0.077941151
episcopatus,0,47,55,1.74,114,2.06,2.25,0.72,109244.5,5.04,275,2.44,400,2.6,693,2.84,2336,3.37,2,0,1,M,0,1,0,1,0,0,1,0,1,1,40,39,0,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,8892154.406,0.00536259,1.40453,2.06972,0.976537,0.0978898,0.244906,33.79,1.60948,5.31062,27.2377,3.84678,0.232540294
canonicus,0,48,35,1.54,70,1.85,1.86,0.74,43049.25,4.63,230,2.36,260,2.41,500,2.7,1500,3.18,2,0,1,M,0,1,0,1,0,1,1,0,1,0,2,2,1,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9185172.465,0.00525258,1.37897,2.04929,0.958349,0.0970253,0.242082,33.8314,1.60029,5.2606,27.2647,3.79223,0.003335813
textile,0,49,40,1.6,150,2.18,2.03,0.6,72963,4.86,230,2.36,270,2.43,975,2.99,4160,3.62,2,0,1,MPV,1,1,1,1,1,1,1,0,1,0,50,50,1,-33.20833333,41.04166667,32.29166667,225.125,74.25,192.8333333,9220990.999,0.0052404,1.3744,2.04676,0.959591,0.0969364,0.241864,33.835,1.59845,5.25005,27.263,3.7867,0.114125137
araneosus,0,50,55,1.74,100,2,1.74,0.83,146376.97,5.17,467,2.67,517,2.71,63,1.8,214,2.33,2,1,0,M,0,1,0,1,1,0,0,0,1,0,20,20,1,-8.458333333,19.875,76.125,141.7083333,28.33333333,65.5833333,675971.2005,0.00335529,1.15385,1.78742,0.646688,0.0624591,0.19167,33.5649,0.874548,3.77588,29.5443,0.726585,0.127947346
bandanus,0,51,50,1.7,150,2.18,1.71,0.78,155925,5.19,299,2.48,355,2.55,425,2.63,444,2.65,2,0,1,M,0,1,0,1,1,1,1,0,1,5,90,85,0,-34.04166667,28.70833333,26.54166667,225.125,62.75,198.5833333,6516859.386,0.00389223,0.997569,1.67426,0.69159,0.10455,0.208526,33.9027,0.929341,4.98351,28.5563,1.55513,0.033975945
marmoreus,0,52,50,1.7,150,2.18,1.82,0.8,39984,4.6,390,2.59,400,2.6,140,2.15,2061,3.31,2,0,1,M,0,1,0,1,1,1,1,0,1,1,15,14,0,-33.20833333,41.04166667,76.125,282.9583333,74.25,206.8333333,7768154.893,0.00532472,1.32188,2.0447,0.906919,0.102982,0.232341,33.3835,1.25477,5.51703,27.2018,4.07928,0.220159932
regius,1,53,30,1.48,80,1.9,1.63,0.68,25234.41,4.4,242,2.38,242,2.38,100,2,200,2.3,1,0,1,V,1,0,0,0,1,1,0,0,1,0,20,20,1,7.875,30.79166667,262.125,300.5416667,22.91666667,38.4166667,872580.3827,0.00559566,3.0157,5.55557,1.24911,0.076936,0.163071,34.8519,2.27028,2.65077,26.637,1.92064,-0.208242835
imperialis,0,54,50,1.7,110,2.04,1.76,0.9,88985,4.95,220,2.34,265,2.42,2300,3.36,6000,3.78,2,0,1,V,1,0,0,1,1,1,1,0,1,0,75,75,1,-33.20833333,28.70833333,32.54166667,225.125,61.91666666,192.5833333,6931727.379,0.00437325,1.06688,1.77972,0.666813,0.102286,0.209547,33.7146,1.13724,4.94524,28.6027,1.49624,0.137139437
distans,0,55,65,1.81,137,2.14,1.96,0.79,260100,5.42,148,2.17,148,2.17,5078,3.71,5150,3.71,,0,1,V,1,0,0,1,1,1,0,0,1,0,10,10,1,-34.04166667,41.04166667,26.54166667,225.125,75.08333334,198.5833333,8371831.379,0.00513088,1.28443,1.9993,0.90959,0.0979818,0.228866,33.6478,1.47028,5.43016,27.2084,3.95882,-0.127304319
puncticulatus,1,56,15,1.18,50,1.7,1.59,0.66,7803,3.89,600,2.78,660,2.82,9,0.95,21,1.32,1,1,0,V,1,0,0,1,0,0,1,0,1,1,7,6,0,7.875,17.125,274.375,299.7083333,9.25,25.3333333,285469.4152,0.00382255,2.75905,6.00115,2.08269,0.0688607,0.173844,35.8531,0.801785,4.05122,28.2194,0.936774,0.029544579
